Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
fracture of the jaw,"fracture of the jaw — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
lipoma,lipoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
female genitalia infection,female genitalia infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
pulmonary hypertension,pulmonary hypertension — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Endocrinologist; Pulmonologist
thyroid nodule,thyroid nodule — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
broken tooth,"broken tooth — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
dumping syndrome,dumping syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
lymphadenitis,lymphadenitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
injury to the face,"injury to the face — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
aortic valve disease,aortic valve disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
rheumatoid arthritis,rheumatoid arthritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
spermatocele,spermatocele — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
impetigo,impetigo — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
anal fistula,anal fistula — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hypothermia,hypothermia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
oppositional disorder,oppositional disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
migraine,migraine — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
